positive_score,negative_score,neutral_score,open_price,close_price,high_price,low_price,volume,total_words,total_hashtag,class_label
41.03,12.82,46.15,187.88,185.21,189.22,187.2,18484900,688,86,-1
38.3,2.13,59.57,190.03,185.3,190.16,188.26,61719200,668,74,-1
43.18,13.64,43.18,191.55,187.23,191.57,190.22,21610100,815,46,1
30.77,17.95,51.28,192.42,187.13,192.88,190.44,21638400,635,110,-1
32.65,6.12,61.22,191.39,188.68,192.61,191.15,16911100,578,66,1
40,11.11,48.89,191.35,187.65,191.97,190.21,18308500,617,79,-1
29.55,9.09,61.36,191.17,188.11,192,189.77,26656800,682,27,-1
40,8,52,194.14,189.84,194.2,192.34,21347200,774,118,-1
31.82,9.09,59.09,193.63,190.35,194.08,191.92,20933600,697,62,1
53.66,7.32,39.02,193.07,189.69,193.94,192.36,21566000,729,42,1
32,2,66,191.64,188.24,193.42,191.35,26266200,631,83,1
46,6,48,187.99,186.68,190.26,187.75,23442500,763,29,1
27.5,12.5,60,187.72,183.99,188,186.78,18690500,656,38,-1
51.11,8.89,40,187.6,184.38,188.75,186.87,22514100,649,89,-1
45.45,4.55,50,188.23,185.05,189.65,187.65,17461000,536,39,1
31.82,36.36,31.82,188.77,184.63,188.84,186.21,23234000,719,119,-1
31.11,8.89,60,186.35,184.83,188.5,185.76,20058400,535,53,1
45.45,12.12,42.42,188.38,183.66,188.88,186.78,15240700,534,24,-1
42,2,56,188,184.12,189.27,186.91,18400800,712,92,1
26.09,6.52,67.39,187.19,182.82,187.81,186.13,18297700,528,41,-1
26.83,7.32,65.85,188,183.49,188.91,186.36,17294000,600,34,-1
45,5,50,186.07,184.66,188.46,186,19183100,695,64,1
32.56,6.98,60.47,186.78,182.95,187.07,185.1,23695200,608,34,-1
22.22,6.67,71.11,189.01,184.63,189.53,187.86,20778800,615,36,-1
41.46,7.32,51.22,189.49,185.06,190.06,187.45,26212200,529,45,-1
29.17,16.67,54.17,187.74,185.77,190.37,187.65,27989300,745,25,1
23.91,10.87,65.22,186.55,183.15,187.4,185.22,23211200,656,19,1
41.86,16.28,41.86,184.99,181.87,186.22,183.67,28402800,759,64,1
36.11,16.67,47.22,185.18,181,187.67,184.75,42451400,585,18,1
26,8,66,178.25,179.7,184.25,178.17,56201300,751,30,1
34.09,13.64,52.27,175.88,172.91,177.5,174.44,34068200,862,93,1
20.37,20.37,59.26,175.23,172.6,177.75,173.8,66539400,720,27,1
25.4,9.52,65.08,166.41,165.3,169.2,165.27,53569400,710,18,1
38.46,7.69,53.85,164,158.67,164.33,160.63,35655800,817,29,-1
20.83,4.17,75,164.12,160.53,165.73,163.37,27963000,674,81,1
22.41,13.79,63.79,162.62,159.97,165.42,162.41,28382100,784,131,1
25,13.64,61.36,165.67,159.28,166.33,161.22,33692000,553,58,-1
22.73,13.64,63.64,166.83,161.52,166.92,164.09,36515500,612,86,-1
17.65,21.57,60.78,170.6,161.99,171.22,165.43,65491100,701,39,-1
29.79,10.64,59.57,173.76,168.91,175.39,172.66,34808800,682,57,-1
21.88,3.12,75,177.81,173.84,178.82,176.88,20754500,396,63,-1
24.49,10.2,65.31,176.49,174.23,178.94,176.41,26605400,752,69,1
20.93,2.33,76.74,175.03,171.87,176.19,174.83,21578400,468,36,1
11.54,9.62,78.85,174.78,170.8,175.84,173.85,25124300,540,128,1
33.93,26.79,39.29,173.41,170.22,175,173.04,22889300,1239,19,1
32.61,6.52,60.87,172.23,168.56,173.92,171.7,22431600,623,68,-1
16.13,3.23,80.65,173,169.35,174,171.53,28408600,314,58,1
36.36,4.55,59.09,169.88,166.23,173.09,169.85,29017700,542,54,1
20,2.22,77.78,170.97,164.59,172.48,168.2,35005300,466,56,-1
26.83,2.44,70.73,172.58,168.91,174.23,172.08,26933200,470,25,1
27.03,10.81,62.16,164.88,167.75,172.01,164.77,34605500,480,18,1
28.95,7.89,63.16,167.64,164.6,168.75,164.88,30278000,566,23,1
30.77,7.69,61.54,166.64,162.93,168.94,164.47,37586800,662,29,-1
36.36,6.82,56.82,167.81,164.01,171.75,166.9,38398500,512,14,1
19.7,24.24,56.06,167.25,162.74,170.02,165.19,41668500,835,35,-1
29.27,17.07,53.66,173.68,164.55,175.15,166.92,40922600,507,33,-1
39.02,7.32,53.66,168.07,168.88,173.1,166.44,37541200,443,21,1
